[Thu Jul 19 14:49:53.001550 2018] [php7:notice] [pid 5079] [client 192.168.0.45:35396] PHP Parse error:  syntax error, unexpected ':' in /var/www/application/src/Common/src/Handler/Factory/ListHandlerAbstractFactory.php on line 68, referer: http://spa.local.vm/import/page
[Thu Jul 19 15:07:18.212700 2018] [php7:notice] [pid 4743] [client 192.168.0.45:35480] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) or const (T_CONST) in /var/www/application/src/Common/src/Handler/Factory/ListHandlerAbstractFactory.php on line 118, referer: http://spa.local.vm/import/page
[Thu Jul 19 20:26:48.004455 2018] [php7:notice] [pid 4998] [client 192.168.0.45:40636] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /var/www/application/src/User/src/ConfigProvider.php on line 145, referer: http://spa.local.vm/admin/user/list/
[Thu Jul 19 20:26:50.353093 2018] [php7:notice] [pid 4743] [client 192.168.0.45:40638] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /var/www/application/src/User/src/ConfigProvider.php on line 145
[Thu Jul 19 20:27:04.741992 2018] [php7:notice] [pid 4741] [client 192.168.0.45:40640] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /var/www/application/src/User/src/ConfigProvider.php on line 145
[Thu Jul 19 20:27:30.335863 2018] [php7:notice] [pid 3340] [client 192.168.0.45:40642] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /var/www/application/src/User/src/ConfigProvider.php on line 145
[Thu Jul 19 20:27:33.716017 2018] [php7:notice] [pid 4745] [client 192.168.0.45:40644] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /var/www/application/src/User/src/ConfigProvider.php on line 145
[Fri Jul 20 11:29:17.614297 2018] [php7:notice] [pid 8222] [client 192.168.0.45:47652] PHP Parse error:  syntax error, unexpected ',', expecting ';' in /var/www/application/src/Auth/src/ConfigProvider.php on line 172, referer: http://spa.local.vm/admin/user/list/
[Sun Jul 22 23:47:16.031494 2018] [php7:notice] [pid 2960] [client 192.168.0.45:47814] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000]: General error: 1 no such table: instances in /var/www/application/vendor/zendframework/zend-db/src/Adapter/Driver/Pdo/Statement.php:186\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-db/src/Adapter/Driver/Pdo/Statement.php(186): PDO->prepare(' SELECT "instan...')\n#1 /var/www/application/vendor/zendframework/zend-db/src/Adapter/Driver/Pdo/Statement.php(212): Zend\\Db\\Adapter\\Driver\\Pdo\\Statement->prepare()\n#2 /var/www/application/vendor/zendframework/zend-db/src/TableGateway/AbstractTableGateway.php(239): Zend\\Db\\Adapter\\Driver\\Pdo\\Statement->execute()\n#3 /var/www/application/vendor/zendframework/zend-db/src/TableGateway/AbstractTableGateway.php(209): Zend\\Db\\TableGateway\\AbstractTableGateway->executeSelect(Object(Zend\\Db\\Sql\\Select))\n#4 /var/www/application/vendor/zendframework/zend-db/src/TableGateway/AbstractTableGateway.php(196): Zend\\Db\\TableGateway\\AbstractTableGateway->selectWith(Object(Zend\\Db\\Sql\\Select))\n#5 /var/www/application/src/Instance/src/M in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 771
[Mon Jul 23 02:12:38.288961 2018] [php7:notice] [pid 2960] [client 192.168.0.45:50462] PHP Warning:  require(vendor/autoload.php): failed to open stream: No such file or directory in /var/www/application/public/index.php on line 11, referer: http://petitions.local.vm/
[Mon Jul 23 02:12:38.289212 2018] [php7:notice] [pid 2960] [client 192.168.0.45:50462] PHP Stack trace:, referer: http://petitions.local.vm/
